FRASEO,P11_COD1,P11_COD2,P11_COD3
Para enviar dinero a familiares que estén en otros estados                                                                                                                                                                                                    ,APOYAR A MIS FAMILIARES,PARA ENVIAR O RECIBIR DINERO,
depositos de servicios                                                                                                                                                                                                                                         ,PAGO DE SERVICIOS,,
Para recibir dinero de mi familia que está en otro estado                                                                                                                                                                                                     ,APOYAR A MIS FAMILIARES,PARA ENVIAR O RECIBIR DINERO,
prestamos personales a familiares                                                                                                                                                                                                                              ,APOYAR A MIS FAMILIARES,,
para enviar a familiares                                                                                                                                                                                                                                       ,APOYAR A MIS FAMILIARES,PARA ENVIAR O RECIBIR DINERO,
para enviar dinero fuera del país                                                                                                                                                                                                                             ,PARA ENVIAR O RECIBIR DINERO,,
enviar dinero sin ningún problema                                                                                                                                                                                                                             ,PARA ENVIAR O RECIBIR DINERO,,
para que las familias de USA manden por aca el dinero                                                                                                                                                                                                          ,PARA ENVIAR O RECIBIR DINERO,,
para poder enviar dinero a mi mamá que está lejos                                                                                                                                                                                                            ,PARA ENVIAR O RECIBIR DINERO,,
para enviarle dinero a mi familia                                                                                                                                                                                                                              ,APOYAR A MIS FAMILIARES,PARA ENVIAR O RECIBIR DINERO,
para hacer más fácil negociaciones con mis proveedores                                                                                                                                                                                                       ,PARA HACER CRECER MI NEGOCIO,,
Para enviar dinero a su madre                                                                                                                                                                                                                                  ,PARA ENVIAR O RECIBIR DINERO,,
para poder realizar pagos y gastos de la casa que van surgiendo                                                                                                                                                                                                ,PAGO DE SERVICIOS,PARA GASTOS EN GENERAL,
enviar dinero a mis familiares                                                                                                                                                                                                                                 ,APOYAR A MIS FAMILIARES,PARA ENVIAR O RECIBIR DINERO,
para enviar dinero a mi hijo                                                                                                                                                                                                                                   ,PARA ENVIAR O RECIBIR DINERO,,
para enviarle dinero a mis papas                                                                                                                                                                                                                               ,PARA ENVIAR O RECIBIR DINERO,,
para enviar dinero al extranjero                                                                                                                                                                                                                               ,PARA ENVIAR O RECIBIR DINERO,,
para enviar dinero a mis hermanos                                                                                                                                                                                                                              ,PARA ENVIAR O RECIBIR DINERO,,
para enviar y recibir dineros por si le toca trabajar afuera de la cd                                                                                                                                                                                          ,PARA ENVIAR O RECIBIR DINERO,,
enviar dinero a familia                                                                                                                                                                                                                                        ,APOYAR A MIS FAMILIARES,PARA ENVIAR O RECIBIR DINERO,
para poder hacer rápido mi envio de dinero                                                                                                                                                                                                                    ,PARA ENVIAR O RECIBIR DINERO,,
envio de dinero a familiares al extranjero                                                                                                                                                                                                                     ,APOYAR A MIS FAMILIARES,PARA ENVIAR O RECIBIR DINERO,
Para poder enviar dinero a familiares que estén en otro estado y sea más fácil de darles dinero                                                                                                                                                             ,APOYAR A MIS FAMILIARES,PARA ENVIAR O RECIBIR DINERO,
"Para enviar dinero a su padre, ya que ellos se encuentran en otra parte del estado y le es mucho más fácil                                                                                                                                                   ",PARA ENVIAR O RECIBIR DINERO,,
comprar productos de fuera                                                                                                                                                                                                                                     ,PARA HACER COMPRAS,,
enviar dinero a distancia                                                                                                                                                                                                                                      ,PARA ENVIAR O RECIBIR DINERO,,
para mi mamá                                                                                                                                                                                                                                                  ,APOYAR A MIS FAMILIARES,,
Mi hermano el más grande esta en los Estados Unidos y nos manda dinero                                                                                                                                                                                        ,PARA ENVIAR O RECIBIR DINERO,,
para poder ayudar a mis papas quee viven en aguascalientes y lo nesecitan                                                                                                                                                                                      ,APOYAR A MIS FAMILIARES,PARA ENVIAR O RECIBIR DINERO,
hacer más rápidas las negociaciones con mis proveedores                                                                                                                                                                                                      ,PARA HACER CRECER MI NEGOCIO,,
envio de dinero a familiares de otro Estado                                                                                                                                                                                                                    ,APOYAR A MIS FAMILIARES,PARA ENVIAR O RECIBIR DINERO,
para ayudar a alguien                                                                                                                                                                                                                                          ,APOYAR A MIS FAMILIARES,,
para mis deudas                                                                                                                                                                                                                                                ,PAGAR DEUDAS,,
para apoyar a familiares enviandoles dinero                                                                                                                                                                                                                    ,APOYAR A MIS FAMILIARES,PARA ENVIAR O RECIBIR DINERO,
envios de dinero internacionales                                                                                                                                                                                                                               ,PARA ENVIAR O RECIBIR DINERO,,
para pagar compras por intetnet                                                                                                                                                                                                                                ,PARA HACER COMPRAS,,
para apoyar ami madre que se encuentra fuera de la ciudad                                                                                                                                                                                                      ,APOYAR A MIS FAMILIARES,,
pagos                                                                                                                                                                                                                                                          ,PAGO DE SERVICIOS,,
para hacer mas practico los negocios con los provedores                                                                                                                                                                                                        ,PARA HACER CRECER MI NEGOCIO,,
para recibir y enviar dinero en dado caso que se requiera                                                                                                                                                                                                      ,PARA ENVIAR O RECIBIR DINERO,,
mandar y recibir dinero de mi familia en caso que lo necesite                                                                                                                                                                                                  ,APOYAR A MIS FAMILIARES,PARA ENVIAR O RECIBIR DINERO,
para apoyar a mi hermana que vive en Chiapas económicamente y que le llegue el dinero rápido cuando ella lo necesite                                                                                                                                         ,PARA ENVIAR O RECIBIR DINERO,APOYAR A MIS FAMILIARES,
Porque tengo familia fuera de Chiapas y aveces para una emergencia se necesita                                                                                                                                                                                 ,APOYAR A MIS FAMILIARES,PARA TENER UN RESPALDO EN EMERGENCIAS,
pagar deudas                                                                                                                                                                                                                                                   ,PAGAR DEUDAS,,
para hacer más rápido el envio de dinero porque luego hay muchas personas formadas y es mucho tiempo                                                                                                                                                         ,PARA HACER VARIAS OPERACIONES COMODAMENTE,,
enviar dinero foraneo                                                                                                                                                                                                                                          ,PARA ENVIAR O RECIBIR DINERO,,
algúnas veces tardo mucho en enviar dinero y quiero que sea más rápido                                                                                                                                                                                      ,PARA HACER VARIAS OPERACIONES COMODAMENTE,,
saldar cuentas                                                                                                                                                                                                                                                 ,PAGAR DEUDAS,,
recibir dinero de mi familia                                                                                                                                                                                                                                   ,PARA ENVIAR O RECIBIR DINERO,,
para facilitarme algunas necesidades que me surguen en el momento o en algunas ocasiones sentirse más seguro de los movimientos                                                                                                                               ,PARA HACER VARIAS OPERACIONES COMODAMENTE,,
"facilitar más las cosas y ahorramos tiempo y dinero, en todos los aspectos de facilidad                                                                                                                                                                       ",PARA HACER VARIAS OPERACIONES COMODAMENTE,,
aveces ocupó la comodidad esta que ofrece el banco y en realidad es necesario                                                                                                                                                                                 ,PARA AHORRAR TIEMPO,,
me facilita muchas cosas aveces enviar dinero se complica y asi se facilitan las cosas                                                                                                                                                                         ,PARA HACER VARIAS OPERACIONES COMODAMENTE,,
para los depósitos que me hacen mis papas me facilita las transferencias                                                                                                                                                                                      ,PARA ENVIAR O RECIBIR DINERO,,
en algún futuro utilizare esa herramienta para satisfacer la necesidad con las personas que tenga al mi alrededor                                                                                                                                             ,APOYAR A MIS FAMILIARES,AHORRAR E INVERTIR PARA UN FUTURO,
los depósitos que me hacen mis papas del apoyo que me dan semanalmente me facilita las cosas                                                                                                                                                                  ,PARA ENVIAR O RECIBIR DINERO,APOYAR A MIS FAMILIARES,
para facilitar todo el tipo de movimientos que tenga en deuda con otras personas                                                                                                                                                                               ,PAGAR DEUDAS,,
yo tengo y recibo el dinero de mis padres                                                                                                                                                                                                                      ,PARA ENVIAR O RECIBIR DINERO,,
"mis papas me depositan el dinero, por que estoy estudiando fuera de la cuidad                                                                                                                                                                                  ",PARA ENVIAR O RECIBIR DINERO,,
constantente necesito enviar dinero a ciertas partes y facilita el trabajo                                                                                                                                                                                     ,PARA ENVIAR O RECIBIR DINERO,,
recibí dinero en es tarjeta y solamente para eso la uso                                                                                                                                                                                                       ,PARA ENVIAR O RECIBIR DINERO,,
mis papas me depositan en esa cuenta cada semana por que estoy en otro cuidad estudiando                                                                                                                                                                       ,PARA ENVIAR O RECIBIR DINERO,,
es muy necesario tenerlo por que tengo parientes que me depositan                                                                                                                                                                                              ,PARA ENVIAR O RECIBIR DINERO,,
comunmente recibí dinero depositado de partes de mis hijos                                                                                                                                                                                                    ,PARA ENVIAR O RECIBIR DINERO,,
para facilitarme los depositos                                                                                                                                                                                                                                 ,PARA ENVIAR O RECIBIR DINERO,,
para saldar gastos a familiares                                                                                                                                                                                                                                ,APOYAR A MIS FAMILIARES,,
                ,NO SABE/NO CONTESTO,,
para ser más fácil el pago de servicios                                                                                                                                                                                                                      ,PAGO DE SERVICIOS,,
hacer fácil el pago y te facilita el ir hasta las tiendas a realizar cualquier transaccion                                                                                                                                                                    ,PARA HACER VARIAS OPERACIONES COMODAMENTE,,
para hacer el pago con rapidez y facilidad                                                                                                                                                                                                                     ,PARA HACER VARIAS OPERACIONES COMODAMENTE,,
Para no tener que ir a la institución que presta el servicio                                                                                                                                                                                                  ,PARA AHORRAR TIEMPO,,
hagilisar el tiempo y se haga directo el cargo ami tarjeta                                                                                                                                                                                                     ,PARA AHORRAR TIEMPO,,
ayuda familiar poder pagar desde aquí los servicios de mi familia                                                                                                                                                                                             ,APOYAR A MIS FAMILIARES,PARA HACER VARIAS OPERACIONES COMODAMENTE,
para que  me cobren ahí mi recibo de casa                                                                                                                                                                                                                     ,PARA HACER VARIAS OPERACIONES COMODAMENTE,,
para pagar en un solo lugar todos los servicios                                                                                                                                                                                                                ,PARA AHORRAR TIEMPO,PARA HACER VARIAS OPERACIONES COMODAMENTE,
Para hacer más rápido mis pagos                                                                                                                                                                                                                              ,PARA AHORRAR TIEMPO,PARA HACER VARIAS OPERACIONES COMODAMENTE,
ahorraria tiempo                                                                                                                                                                                                                                               ,PARA AHORRAR TIEMPO,,
más facil y ahorra  tiempo                                                                                                                                                                                                                                    ,PARA AHORRAR TIEMPO,,
para realizar el pago de la luz                                                                                                                                                                                                                                ,PAGO DE SERVICIOS,,
pagar a tiempo y en un solo lugar                                                                                                                                                                                                                              ,PAGO DE SERVICIOS,,
para ahorrar tiempo en ir a cada sucursal a hacer los pagos correspondientes y aprovecharía ese tiempo para poder realizar mis estudios                                                                                                                       ,PARA HACER VARIAS OPERACIONES COMODAMENTE,,
pago puntual                                                                                                                                                                                                                                                   ,PAGO DE SERVICIOS,,
para pagar esos servicios                                                                                                                                                                                                                                      ,PAGO DE SERVICIOS,,
para ahorrar tiempo y hacerlo mas comodamente                                                                                                                                                                                                                  ,PARA AHORRAR TIEMPO,,
hacer pagos puntuales                                                                                                                                                                                                                                          ,PAGO DE SERVICIOS,,
para hacer mis pagos de servicios                                                                                                                                                                                                                              ,PAGO DE SERVICIOS,,
para pagar todo en un mismo lugar                                                                                                                                                                                                                              ,PAGO DE SERVICIOS,,
para pagar todos los servicios en un mismo lugar                                                                                                                                                                                                               ,PARA HACER VARIAS OPERACIONES COMODAMENTE,,
para pagar mis servicios sin tener que dar tantas vueltas y de forma más sencilla                                                                                                                                                                             ,PARA HACER VARIAS OPERACIONES COMODAMENTE,,
hacer todos los pagos en un solo movimiento                                                                                                                                                                                                                    ,PAGO DE SERVICIOS,,
para todos esos                                                                                                                                                                                                                                                ,OTROS,,
para pagar mis necesidades sin tanto estrés                                                                                                                                                                                                                   ,PAGO DE SERVICIOS,,
Se ahorran las grandes filas en otros lugares y lo mejor es que no me cobran ninguna comisión                                                                                                                                                                 ,PARA AHORRAR TIEMPO,,
para facilitar el pago de mis servicios sin necesidad de ir hasta las sucursales a pagar                                                                                                                                                                       ,PARA AHORRAR TIEMPO,PARA HACER VARIAS OPERACIONES COMODAMENTE,
Pues para pagar todos los servicios en un solo lado                                                                                                                                                                                                            ,PARA HACER VARIAS OPERACIONES COMODAMENTE,,
Pero que no cobren comisión por hacer pagos ahí                                                                                                                                                                                                              ,PAGO DE SERVICIOS,,
para evitar ir a las sucursales de respectivos servicios                                                                                                                                                                                                       ,PARA AHORRAR TIEMPO,PARA HACER VARIAS OPERACIONES COMODAMENTE,
