FRASEO,P5_COD1,P5_COD2,P5_COD3
"sin cobros adicionales, por los horarios y porque no hay bancos que cierren a esas horas                                                                                                                                                                       ",NO COBRA COMISIONES,HORARIO AMPLIO,
la pude abrir con poquito                                                                                                                                                                                                                                      ,SE PUEDE ABRIR UNA CUENTA CON POCO DINERO,,
no cobra manejo de cuenta                                                                                                                                                                                                                                      ,NO COBRA COMISIONES,,
mis padres sacaron ahí su tarjeta                                                                                                                                                                                                                             ,MIS PADRES SACARON LA TARJETA,,
mis padres                                                                                                                                                                                                                                                     ,MIS PADRES SACARON LA TARJETA,,
para asegurar a mi familia                                                                                                                                                                                                                                     ,PUEDO ASEGURAR A MI FAMILIA,,
el pago es accesible                                                                                                                                                                                                                                           ,PAGOS CÓMODOS,,
casi no pago intereses                                                                                                                                                                                                                                         ,COBRA POCOS INTERESES,,
se paga poco interes y es a pocos meses se paga rapido y entre varias personas                                                                                                                                                                                 ,COBRA POCOS INTERESES,TIENE PLAZOS CORTOS,
"comprar exclusivas en la tienda, meses sin intereses, las marcas que venden y siempre encuentro lo que busco y me dan monedero y varias promociones                                                                                                            ",OFERTAS Y PROMOCIONES,TIENE VARIEDAD DE PRODUCTOS,
