"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","A27","B28","C29","D30","E31","F32","G33","H34","I35","J36","K37","L38","M39","N40","O41","P42","Q43","R44","S45","T46","U47","V48","W49","X50","Y51","Z52","A53","B54","C55","D56","E57","F58","G59","H60","I61","J62","K63","L64","M65","N66","O67","P68","Q69","R70","S71"
"15","PARA IRME DE VIAJE O VACACIONES","1","0.8","1","1.3","0","0","0","0","1","2","0","0","0","0","1","4.3","0","0","0","0","0","0","0","0","1","3.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3.4","0","0","0","0","0","0","0","0","1","3.1","0","0","0","0","1","3.3","0","0","0","0","0","0","0","0"
"16","PARA SOLICITAR ALGUN PRESTAMO O CREDITO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","PARA GASTOS EN GENERAL","1","0.8","0","0","1","2.1","0","0","1","2","0","0","0","0","0","0","0","0","1","4","0","0","1","2.4","0","0","0","0","0","0","0","0","0","0","0","0","1","14.3","0","0","0","0","0","0","0","0","0","0","0","0","1","11.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","AHORRAR E INVERTIR PARA UN FUTURO","2","1.6","0","0","2","4.2","2","2.6","0","0","1","3.3","0","0","1","4.3","0","0","0","0","1","3.7","1","2.4","0","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","1","3.6","0","0","0","0","0","0","0","0","1","4.5","1","3.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","PARA GASTOS DE LA ESCUELA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","GASTOS MÉDICOS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","POR SEGURIDAD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","PARA MEJORAS EN LA CASA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","ASEGURAR A MI FAMILIA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","ASEGURAR MI PATRIMONIO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","NO ME INTERESA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","","207","164.3","131","167.9","76","158.3","121","159.2","86","172","51","170","49","169","33","143.5","32","168.4","42","168","44","163","68","165.9","45","150","50","178.6","36","180","15","125","10","142.9","12","150","13","185.7","4","200","25","192.3","50","178.6","42","144.8","48","154.8","30","157.9","15","166.7","38","172.7","51","159.4","25","192.3","25","166.7","47","156.7","13","185.7","18","163.6","11","183.3","17","188.9"
"27","Total","126","100","78","100","48","100","76","100","50","100","30","100","29","100","23","100","19","100","25","100","27","100","41","100","30","100","28","100","20","100","12","100","7","100","8","100","7","100","2","100","13","100","28","100","29","100","31","100","19","100","9","100","22","100","32","100","13","100","15","100","30","100","7","100","11","100","6","100","9","100"
"28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29","P11.Pago.de.servicios..Tel.fono..A","Total_Total_f","Total_Total_pct","A3_Sí (Bancarizado)_f","A3_Sí (Bancarizado)_pct","A3_No (No Bancarizado)_f","A3_No (No Bancarizado)_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","Edad.Rango_18 - 24 años_f","Edad.Rango_18 - 24 años_pct","Edad.Rango_25 - 34 años_f","Edad.Rango_25 - 34 años_pct","Edad.Rango_35 - 44 años_f","Edad.Rango_35 - 44 años_pct","Edad.Rango_45 - 55 años_f","Edad.Rango_45 - 55 años_pct","Plaza_Veracruz (Veracruz)_f","Plaza_Veracruz (Veracruz)_pct","Plaza_Chiapas (Ocozocoautla de espinosa)_f","Plaza_Chiapas (Ocozocoautla de espinosa)_pct","Plaza_Yucatan (Hunucma)_f","Plaza_Yucatan (Hunucma)_pct","Plaza_Ciudad de México (AMCM)_f","Plaza_Ciudad de México (AMCM)_pct","Plaza_Puebla (Tepeaca)_f","Plaza_Puebla (Tepeaca)_pct","Plaza_Jalisco (Ayotlan)_f","Plaza_Jalisco (Ayotlan)_pct","Plaza_Nuevo Leon (Monterrey)_f","Plaza_Nuevo Leon (Monterrey)_pct","Plaza_Sonora (Heroica de Caborca)_f","Plaza_Sonora (Heroica de Caborca)_pct","Plaza_Sinaloa (Angostura)_f","Plaza_Sinaloa (Angostura)_pct","cluster_1_f","cluster_1_pct","cluster_2_f","cluster_2_pct","cluster_3_f","cluster_3_pct","cluster_4_f","cluster_4_pct","cluster_5_f","cluster_5_pct","cluster_6_f","cluster_6_pct","clusterB_1_f","clusterB_1_pct","clusterB_2_f","clusterB_2_pct","clusterB_3_f","clusterB_3_pct","clusterB_4_f","clusterB_4_pct","clusterB_5_f","clusterB_5_pct","clusterB_6_f","clusterB_6_pct"
"30","PARA ENVIAR O RECIBIR DINERO","2","1.3","2","2.1","0","0","1","1.5","1","1.1","0","0","0","0","1","3.1","0","0","1","3.4","0","0","0","0","0","0","2","6.5","0","0","0","0","0","0","0","0","1","6.7","0","0","0","0","1","5.6","0","0","1","3.2","0","0","0","0","0","0","1","2.8","0","0","0","0","2","5.6","0","0","0","0","0","0","0","0"
"31","APOYAR A MIS FAMILIARES","1","0.6","1","1","0","0","0","0","1","1.1","0","0","1","2.6","0","0","0","0","0","0","0","0","1","2.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","0","0","1","5.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7.1"
"32","PARA TENER UN RESPALDO EN EMERGENCIAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","PARA HACER VARIAS OPERACIONES COMODAMENTE","56","36.4","42","43.3","14","24.6","31","46.3","25","28.7","10","33.3","16","42.1","11","34.4","9","36","10","34.5","14","43.8","17","37","14","31.1","11","35.5","7","20","8","50","2","28.6","4","66.7","10","66.7","0","0","11","40.7","5","27.8","9","36","14","45.2","6","33.3","4","33.3","12","30","13","36.1","7","41.2","4","26.7","20","55.6","9","47.4","2","25","2","40","5","35.7"
"34","PAGAR DEUDAS","1","0.6","1","1","0","0","1","1.5","0","0","1","3.3","0","0","0","0","0","0","0","0","0","0","1","2.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5.6","0","0","0","0","1","5.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7.1"
"35","PARA PONER UN NEGOCIO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","PAGO DE SERVICIOS","65","42.2","41","42.3","24","42.1","26","38.8","39","44.8","14","46.7","14","36.8","14","43.8","11","44","12","41.4","14","43.8","19","41.3","19","42.2","13","41.9","24","68.6","8","50","4","57.1","0","0","5","33.3","1","20","13","48.1","4","22.2","6","24","7","22.6","5","27.8","7","58.3","21","52.5","15","41.7","10","58.8","8","53.3","11","30.6","11","57.9","4","50","2","40","5","35.7"
"37","PARA HACER CRECER MI NEGOCIO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","PARA HACER COMPRAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"39","PARA AHORRAR TIEMPO","39","25.3","21","21.6","18","31.6","13","19.4","26","29.9","6","20","12","31.6","6","18.8","7","28","8","27.6","4","12.5","12","26.1","15","33.3","8","25.8","4","11.4","4","25","2","28.6","4","66.7","1","6.7","3","60","4","14.8","8","44.4","9","36","9","29","8","44.4","1","8.3","9","22.5","9","25","3","17.6","5","33.3","6","16.7","2","10.5","2","25","1","20","5","35.7"
"40","NO SABE/NO CONTESTO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"41","OTROS","5","3.2","1","1","4","7","3","4.5","2","2.3","1","3.3","0","0","2","6.2","0","0","2","6.9","2","6.2","1","2.2","2","4.4","0","0","1","2.9","0","0","0","0","0","0","0","0","1","20","0","0","1","5.6","2","8","3","9.7","0","0","0","0","1","2.5","1","2.8","0","0","0","0","1","2.8","0","0","0","0","0","0","0","0"
"42","PARA COMPRAR UN AUTO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43","PARA IRME DE VIAJE O VACACIONES","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","PARA SOLICITAR ALGUN PRESTAMO O CREDITO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","PARA GASTOS EN GENERAL","1","0.6","1","1","0","0","0","0","1","1.1","0","0","0","0","0","0","1","4","0","0","0","0","0","0","0","0","1","3.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5.6","0","0","1","3.2","0","0","0","0","0","0","0","0","0","0","0","0","1","2.8","0","0","0","0","0","0","0","0"
"46","AHORRAR E INVERTIR PARA UN FUTURO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","PARA GASTOS DE LA ESCUELA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","GASTOS MÉDICOS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"49","POR SEGURIDAD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","PARA MEJORAS EN LA CASA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"51","ASEGURAR A MI FAMILIA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"52","ASEGURAR MI PATRIMONIO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"53","NO ME INTERESA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"54","","292","189.6","181","186.6","111","194.7","126","188.1","166","190.8","58","193.3","71","186.8","62","193.8","47","188","54","186.2","62","193.8","87","189.1","85","188.9","58","187.1","69","197.1","28","175","13","185.7","10","166.7","28","186.7","10","200","53","196.3","33","183.3","48","192","58","187.1","33","183.3","24","200","77","192.5","69","191.7","31","182.4","28","186.7","67","186.1","35","184.2","16","200","10","200","25","178.6"
"55","Total","154","100","97","100","57","100","67","100","87","100","30","100","38","100","32","100","25","100","29","100","32","100","46","100","45","100","31","100","35","100","16","100","7","100","6","100","15","100","5","100","27","100","18","100","25","100","31","100","18","100","12","100","40","100","36","100","17","100","15","100","36","100","19","100","8","100","5","100","14","100"
"56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"57","P11.Banca.m.vil","Total_Total_f","Total_Total_pct","A3_Sí (Bancarizado)_f","A3_Sí (Bancarizado)_pct","A3_No (No Bancarizado)_f","A3_No (No Bancarizado)_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","Edad.Rango_18 - 24 años_f","Edad.Rango_18 - 24 años_pct","Edad.Rango_25 - 34 años_f","Edad.Rango_25 - 34 años_pct","Edad.Rango_35 - 44 años_f","Edad.Rango_35 - 44 años_pct","Edad.Rango_45 - 55 años_f","Edad.Rango_45 - 55 años_pct","Plaza_Veracruz (Veracruz)_f","Plaza_Veracruz (Veracruz)_pct","Plaza_Chiapas (Ocozocoautla de espinosa)_f","Plaza_Chiapas (Ocozocoautla de espinosa)_pct","Plaza_Yucatan (Hunucma)_f","Plaza_Yucatan (Hunucma)_pct","Plaza_Ciudad de México (AMCM)_f","Plaza_Ciudad de México (AMCM)_pct","Plaza_Puebla (Tepeaca)_f","Plaza_Puebla (Tepeaca)_pct","Plaza_Jalisco (Ayotlan)_f","Plaza_Jalisco (Ayotlan)_pct","Plaza_Nuevo Leon (Monterrey)_f","Plaza_Nuevo Leon (Monterrey)_pct","Plaza_Sonora (Heroica de Caborca)_f","Plaza_Sonora (Heroica de Caborca)_pct","Plaza_Sinaloa (Angostura)_f","Plaza_Sinaloa (Angostura)_pct","cluster_1_f","cluster_1_pct","cluster_2_f","cluster_2_pct","cluster_3_f","cluster_3_pct","cluster_4_f","cluster_4_pct","cluster_5_f","cluster_5_pct","cluster_6_f","cluster_6_pct","clusterB_1_f","clusterB_1_pct","clusterB_2_f","clusterB_2_pct","clusterB_3_f","clusterB_3_pct","clusterB_4_f","clusterB_4_pct","clusterB_5_f","clusterB_5_pct","clusterB_6_f","clusterB_6_pct"
"58","PARA ENVIAR O RECIBIR DINERO","3","3.4","3","4.2","0","0","2","4.3","1","2.4","0","0","2","9.5","1","5.3","0","0","0","0","1","5.6","0","0","0","0","2","9.5","1","5.3","0","0","0","0","0","0","1","20","1","5.6","0","0","0","0","0","0","0","0","0","0","2","22.2","1","3.8","0","0","0","0","0","0","0","0","1","9.1","0","0","2","22.2","0","0"
"59","APOYAR A MIS FAMILIARES","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60","PARA TENER UN RESPALDO EN EMERGENCIAS","1","1.1","1","1.4","0","0","0","0","1","2.4","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4.8","1","5.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","12.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","12.5"
"61","PARA HACER VARIAS OPERACIONES COMODAMENTE","58","65.9","45","63.4","13","76.5","29","61.7","29","70.7","15","60","15","71.4","12","63.2","10","71.4","6","66.7","15","83.3","16","53.3","13","68.4","14","66.7","11","57.9","3","37.5","5","100","7","53.8","2","40","13","72.2","7","77.8","9","100","1","50","7","77.8","6","75","4","44.4","18","69.2","20","62.5","3","75","16","72.7","14","73.7","5","45.5","2","100","3","33.3","5","62.5"
"62","PAGAR DEUDAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"63","PARA PONER UN NEGOCIO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"64","PAGO DE SERVICIOS","11","12.5","10","14.1","1","5.9","4","8.5","7","17.1","3","12","3","14.3","1","5.3","2","14.3","2","22.2","1","5.6","8","26.7","2","10.5","0","0","5","26.3","1","12.5","0","0","0","0","1","20","3","16.7","1","11.1","0","0","0","0","1","11.1","1","12.5","1","11.1","2","7.7","6","18.8","0","0","3","13.6","3","15.8","1","9.1","0","0","2","22.2","1","12.5"
